bedroom,price,area,Floor,property_type,locality,City,furnish_type,Tenant Preferred,bathroom,seller_type,price_per_sqft,bed_bath_ratio,price_log,rent_category
2,15000,900,Ground out of 2,Carpet Area,"Project Kaikhali, Vip Road",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,16.66666667,1,9.615872145,Medium
2,6000,550,1 out of 1,Super Area,Vip Road,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10.90909091,2,8.699681401,Very Low
2,5000,500,Ground out of 2,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10,1,8.517393171,Very Low
3,22000,1100,2 out of 3,Carpet Area,Dumdum Park,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,20,3,9.998843186,High
2,15000,850,1 out of 2,Carpet Area,Sreebhumi,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,17.64705882,2,9.615872145,Medium
2,12500,800,2 out of 2,Carpet Area,Shyam Bazar,Kolkata,Unfurnished,Bachelors,1,Contact Agent,15.625,2,9.43356392,Low
2,7000,630,Ground out of 3,Carpet Area,Birati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,11.11111111,2,8.853808275,Very Low
2,21000,900,1 out of 2,Carpet Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,23.33333333,1,9.952325335,High
1,10000,270,1 out of 2,Carpet Area,Jadavpur University,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,37.03703704,1,9.210440367,Low
2,7200,630,Ground out of 1,Carpet Area,Birati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,11.42857143,2,8.881975184,Very Low
3,12000,1500,Ground out of 2,Carpet Area,Bhadrakali,Kolkata,Furnished,Bachelors,2,Contact Owner,8,1.5,9.392745259,Low
1,5000,600,2 out of 5,Super Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.333333333,1,8.517393171,Very Low
2,8500,700,4 out of 14,Carpet Area,Baruipur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.14285714,2,9.047939083,Very Low
1,6000,300,Ground out of 3,Super Area,Ballygunge,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,20,1,8.699681401,Very Low
2,10000,1300,Ground out of 1,Super Area,Kalikapur,Kolkata,Semi-Furnished,Family,2,Contact Owner,7.692307692,1,9.210440367,Low
2,4600,400,3 out of 3,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,11.5,2,8.43402895,Very Low
2,12000,650,Ground out of 1,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Family,2,Contact Owner,18.46153846,1,9.392745259,Low
3,30000,2000,Ground out of 2,Super Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,15,1.5,10.30898599,High
3,15000,1068,Ground out of 3,Super Area,Bansdroni,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,14.04494382,1.5,9.615872145,Medium
1,7500,150,1 out of 1,Super Area,Salt Lake City,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,50,1,8.922791624,Very Low
1,7500,450,2 out of 2,Carpet Area,New Town,Kolkata,Unfurnished,Bachelors,1,Contact Owner,16.66666667,1,8.922791624,Very Low
2,5000,800,Ground out of 1,Carpet Area,Baruipur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,6.25,2,8.517393171,Very Low
2,15000,1000,Ground out of 2,Super Area,Bansdroni,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15,1,9.615872145,Medium
2,11000,900,5 out of 5,Super Area,Pancha Sayar,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,12.22222222,2,9.305741457,Low
1,7000,600,Ground out of 2,Carpet Area,Behala,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.66666667,1,8.853808275,Very Low
2,6000,1200,1 out of 1,Super Area,Hooghly-Chinsurah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,5,2,8.699681401,Very Low
2,6000,1200,2 out of 2,Super Area,Hooghly-Chinsurah,Kolkata,Semi-Furnished,Bachelors,2,Contact Owner,5,1,8.699681401,Very Low
2,7000,650,Ground out of 3,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,10.76923077,1,8.853808275,Very Low
2,8500,720,4 out of 4,Carpet Area,"Shrachi Village, Madhyam Gram",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,11.80555556,1,9.047939083,Very Low
1,5000,300,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors,1,Contact Owner,16.66666667,1,8.517393171,Very Low
3,30000,1200,Ground out of 2,Carpet Area,VIP Road Haldiram,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,25,1,10.30898599,High
2,10000,700,7 out of 8,Carpet Area,Sarsuna,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,14.28571429,1,9.210440367,Low
3,30000,2000,1 out of 3,Super Area,Naihati,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,15,1.5,10.30898599,High
1,3500,250,Ground out of 4,Super Area,Baksara,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,14,1,8.160803921,Very Low
2,8000,1100,Ground out of 3,Carpet Area,Naihati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,7.272727273,2,8.987321813,Very Low
1,5000,300,Ground out of 2,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,16.66666667,1,8.517393171,Very Low
2,7500,600,Ground out of 2,Super Area,"Amtala, Diamond Harbour Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.5,2,8.922791624,Very Low
2,6500,800,Ground out of 2,Carpet Area,"Chak Thakurani, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.125,2,8.77971129,Very Low
1,7500,680,1 out of 3,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.02941176,1,8.922791624,Very Low
1,7500,680,Ground out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.02941176,1,8.922791624,Very Low
2,16000,850,1 out of 4,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,18.82352941,2,9.680406499,Medium
2,16000,850,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,18.82352941,2,9.680406499,Medium
2,6500,700,Ground out of 2,Super Area,Bandel,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9.285714286,2,8.77971129,Very Low
3,40000,1500,Ground out of 2,Super Area,Beliaghata,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,26.66666667,1.5,10.59665973,High
2,12500,950,1 out of 4,Super Area,"Magnolia Prestige, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,13.15789474,1,9.43356392,Low
2,5500,500,Ground out of 2,Super Area,"Baishnabghata Patuli Township, Patuli",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11,2,8.612685173,Very Low
1,5000,450,2 out of 4,Carpet Area,"Dum Dum Heights, Jessore Road",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,11.11111111,1,8.517393171,Very Low
2,6500,700,Ground out of 2,Super Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9.285714286,2,8.77971129,Very Low
1,8000,500,1 out of 2,Super Area,Lake Town,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,16,1,8.987321813,Very Low
3,14500,1800,Ground out of 2,Super Area,Belghoria,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,8.055555556,1.5,9.581972892,Medium
1,8200,500,1 out of 3,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,16.4,1,9.012011377,Very Low
2,15000,480,Ground out of 3,Carpet Area,shukhobrishti,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,31.25,1,9.615872145,Medium
6,20000,1000,1 out of 1,Super Area,Sonarpur,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,20,3,9.903537551,Medium
2,6700,800,1 out of 2,Super Area,"Baishnavghata patuli , house number s-300 Kolkata 700094",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,8.375,2,8.810012048,Very Low
1,10000,435,2 out of 3,Super Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,22.98850575,1,9.210440367,Low
2,7000,700,Ground out of 2,Carpet Area,Dum Dum Metro,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,10,1,8.853808275,Very Low
2,22000,800,4 out of 4,Super Area,"Hazra, Kalighat",Kolkata,Furnished,Bachelors/Family,1,Contact Agent,27.5,2,9.998843186,High
2,6500,450,1 out of 3,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,14.44444444,2,8.77971129,Very Low
2,8500,550,2 out of 3,Carpet Area,Kasba -East,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Agent,15.45454545,2,9.047939083,Very Low
2,18000,800,Ground out of 4,Carpet Area,Salt Lake City,Kolkata,Unfurnished,Bachelors,2,Contact Agent,22.5,1,9.798182591,Medium
2,12000,550,Ground out of 2,Carpet Area,Baghajatin,Kolkata,Semi-Furnished,Family,2,Contact Owner,21.81818182,1,9.392745259,Low
1,9000,600,2 out of 4,Super Area,Behala,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,15,1,9.105090961,Very Low
1,6000,500,Ground out of 1,Super Area,"New Garia, Garia",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,12,1,8.699681401,Very Low
2,20000,1000,1 out of 2,Super Area,Anandapur,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,20,1,9.903537551,Medium
1,5000,300,1 out of 2,Carpet Area,Dum Dum Metro,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,16.66666667,1,8.517393171,Very Low
2,12000,1200,1 out of 3,Super Area,Boral,Kolkata,Furnished,Bachelors/Family,2,Contact Owner,10,1,9.392745259,Low
2,10000,500,3 out of 4,Carpet Area,"Rabindra Pally, Keshtopur",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,20,2,9.210440367,Low
4,18000,1200,1 out of 2,Super Area,Bagbazar,Kolkata,Unfurnished,Family,2,Contact Owner,15,2,9.798182591,Medium
2,15000,900,1 out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,16.66666667,1,9.615872145,Medium
3,22000,1300,Ground out of 2,Carpet Area,Salt Lake City Sector 2,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,16.92307692,1,9.998843186,High
4,35000,1600,1 out of 5,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,3,Contact Agent,21.875,1.333333333,10.46313191,High
3,21000,1450,Ground out of 1,Super Area,Ajoy Nagar,Kolkata,Unfurnished,Family,2,Contact Owner,14.48275862,1.5,9.952325335,High
2,25000,1100,2 out of 2,Super Area,"Action Area 1, Rajarhat Newtown",Kolkata,Furnished,Bachelors,2,Contact Agent,22.72727273,1,10.1266711,High
2,180000,950,Ground out of 1,Carpet Area,"Avenue S, Santoshpur",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,189.4736842,1,12.10071769,Very High
1,6000,600,8 out of 5,Carpet Area,Pratiraksha Nagar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10,1,8.699681401,Very Low
2,14000,700,Ground out of 2,Carpet Area,"Kudghat, Ashok Nagar",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,20,1,9.546884035,Medium
3,8000,750,Ground out of 2,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Family,1,Contact Owner,10.66666667,3,8.987321813,Very Low
2,8000,1000,Ground out of 1,Super Area,"Purbasan, Thakurpukur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8,2,8.987321813,Very Low
1,6000,220,Ground out of 2,Super Area,"Bidhan Pally, Bansdroni",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,27.27272727,1,8.699681401,Very Low
1,8000,300,1 out of 3,Carpet Area,"Naktala, Garia",Kolkata,Semi-Furnished,Bachelors,1,Contact Agent,26.66666667,1,8.987321813,Very Low
1,6000,300,Ground out of 1,Carpet Area,Tiljala Road,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,20,1,8.699681401,Very Low
1,20000,700,1 out of 2,Super Area,Sankaritola,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,28.57142857,1,9.903537551,Medium
3,12000,800,Ground out of 1,Super Area,"Parnashree Lake, Behala",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,15,1.5,9.392745259,Low
3,15000,1600,1 out of 3,Super Area,Garia,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.375,1.5,9.615872145,Medium
2,14000,1000,1 out of 3,Carpet Area,Kasba,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,14,1,9.546884035,Medium
1,5000,20,2 out of 3,Super Area,Dakshineswar,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,250,1,8.517393171,Very Low
2,7000,400,Ground out of 2,Carpet Area,chatana,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,17.5,2,8.853808275,Very Low
1,3900,200,2 out of 2,Super Area,Shyam Bazar,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,19.5,1,8.26898821,Very Low
3,14000,840,1 out of 4,Carpet Area,Mukundapur,Kolkata,Unfurnished,Bachelors,2,Contact Owner,16.66666667,1.5,9.546884035,Medium
1,6300,300,1 out of 1,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,21,1,8.74846363,Very Low
2,13000,550,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Furnished,Bachelors/Family,2,Contact Agent,23.63636364,1,9.472781557,Low
1,6800,300,1 out of 2,Carpet Area,Salt Lake City Sector 5,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,22.66666667,1,8.824824939,Very Low
2,8000,800,1 out of 1,Super Area,Behala Chowrasta,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,10,1,8.987321813,Very Low
2,10000,740,Ground out of 6,Carpet Area,Sonarpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,13.51351351,2,9.210440367,Low
2,18000,1300,1 out of 1,Super Area,Santoshpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,13.84615385,1,9.798182591,Medium
2,8000,650,Ground out of 1,Super Area,"Garia Station, Garia",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.30769231,2,8.987321813,Very Low
2,8000,490,1 out of 1,Super Area,Entally,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,16.32653061,2,8.987321813,Very Low
1,4700,250,2 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,18.8,1,8.455530531,Very Low
1,4700,250,Ground out of 1,Super Area,"Dash Drone, Rajarhat Newtown",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,18.8,1,8.455530531,Very Low
1,4500,450,1 out of 2,Super Area,"Rabindra Pally, Keshtopur",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10,1,8.412054873,Very Low
1,6000,300,Ground out of 1,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,20,1,8.699681401,Very Low
2,16000,750,1 out of 3,Super Area,"Rajdanga Gardens, Kasba",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,21.33333333,1,9.680406499,Medium
1,4700,250,1 out of 2,Super Area,Kaikhali,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,18.8,1,8.455530531,Very Low
2,14000,751,3 out of 3,Carpet Area,Baghajatin,Kolkata,Unfurnished,Bachelors,1,Contact Owner,18.64181092,2,9.546884035,Medium
2,9000,900,Ground out of 2,Carpet Area,Lake Town,Kolkata,Semi-Furnished,Bachelors,1,Contact Owner,10,2,9.105090961,Very Low
2,5000,400,1 out of 3,Carpet Area,Keshtopur,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.5,2,8.517393171,Very Low
2,17500,1000,Ground out of 2,Carpet Area,Salt Lake City,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Agent,17.5,1,9.770013301,Medium
2,8500,1000,Ground out of 1,Carpet Area,South Baksara,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.5,2,9.047939083,Very Low
3,15000,1500,1 out of 1,Carpet Area,"Chandannagar, Hooghly-Chinsurah",Kolkata,Semi-Furnished,Family,2,Contact Owner,10,1.5,9.615872145,Medium
2,12500,750,1 out of 3,Carpet Area,"Sukhpally, Haltu",Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,16.66666667,1,9.43356392,Low
1,13000,1200,2 out of 4,Super Area,Kasba,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,10.83333333,1,9.472781557,Low
2,8000,700,Ground out of 1,Super Area,"Sakher Bazar, Purba Barisha",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,11.42857143,2,8.987321813,Very Low
2,8000,700,4 out of 4,Carpet Area,Garia Dhalua Nabapally,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,11.42857143,2,8.987321813,Very Low
2,8000,1000,Ground out of 2,Super Area,"Chinar Park, Rajarhat",Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,8,2,8.987321813,Very Low
2,7000,1200,1 out of 3,Super Area,Konnagar,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,5.833333333,1,8.853808275,Very Low
2,2200,550,2 out of 3,Super Area,Behala silpara,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,4,2,7.696667082,Very Low
2,8000,800,Ground out of 4,Carpet Area,Vip Road,Kolkata,Unfurnished,Bachelors,1,Contact Owner,10,2,8.987321813,Very Low
2,5500,280,1 out of 3,Super Area,New Barrakpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,19.64285714,2,8.612685173,Very Low
3,20000,1100,Ground out of 2,Super Area,"Thakurpukur, Kolkata",Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,18.18181818,1,9.903537551,Medium
2,7000,950,Ground out of 2,Super Area,Kaikhali,Kolkata,Unfurnished,Bachelors/Family,1,Contact Agent,7.368421053,2,8.853808275,Very Low
1,3500,250,1 out of 2,Super Area,"Phool Bagan, Kankurgachi",Kolkata,Furnished,Bachelors/Family,1,Contact Owner,14,1,8.160803921,Very Low
2,5000,1000,Ground out of 2,Carpet Area,Hindmotor,Kolkata,Unfurnished,Bachelors,1,Contact Owner,5,2,8.517393171,Very Low
3,20000,1000,Ground out of 2,Carpet Area,Salt Lake City Sector 1,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,20,1.5,9.903537551,Medium
2,7000,650,Ground out of 2,Super Area,Howrah,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,10.76923077,2,8.853808275,Very Low
2,10000,700,1 out of 2,Super Area,Benia Pukur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,14.28571429,1,9.210440367,Low
2,7000,700,Ground out of 3,Carpet Area,Baguiati,Kolkata,Unfurnished,Bachelors,1,Contact Owner,10,2,8.853808275,Very Low
3,12000,1000,Ground out of 3,Super Area,E M Bypass,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,12,1.5,9.392745259,Low
2,14500,900,1 out of 4,Carpet Area,"Panchanan Tola, Thakurpukur",Kolkata,Unfurnished,Bachelors,2,Contact Owner,16.11111111,1,9.581972892,Medium
1,6000,700,1 out of 2,Super Area,"VIP Nagar, E M Bypass",Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,8.571428571,1,8.699681401,Very Low
2,9500,700,1 out of 2,Super Area,Jadavpur,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,13.57142857,1,9.159152335,Low
2,10000,450,2 out of 1,Carpet Area,Behala,Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,22.22222222,1,9.210440367,Low
1,3500,120,Ground out of 3,Super Area,Dum Dum Cantonment,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,29.16666667,1,8.160803921,Very Low
2,9000,800,1 out of 2,Super Area,"New Garia, Garia",Kolkata,Semi-Furnished,Bachelors/Family,2,Contact Owner,11.25,1,9.105090961,Very Low
3,40000,1220,2 out of 3,Carpet Area,Salt Lake City Sector 3,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,32.78688525,1.5,10.59665973,High
3,16500,1100,Ground out of 3,Super Area,Mominpur,Kolkata,Unfurnished,Bachelors/Family,1,Contact Owner,15,3,9.711176264,Medium
3,8000,700,Ground out of 3,Carpet Area,"Halisahar Station Road, Kanchrapara",Kolkata,Unfurnished,Family,2,Contact Owner,11.42857143,1.5,8.987321813,Very Low
2,12000,800,Ground out of 3,Super Area,Santoshpur,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,15,2,9.392745259,Low
2,6500,670,2 out of 2,Super Area,"Dunlop, Dakshineswar, Belgharia Expressway",Kolkata,Unfurnished,Family,1,Contact Owner,9.701492537,2,8.77971129,Very Low
4,40000,1300,1 out of 2,Super Area,Ballygunge,Kolkata,Unfurnished,Bachelors/Family,3,Contact Owner,30.76923077,1.333333333,10.59665973,High
1,5000,190,Ground out of 2,Super Area,Baguihati,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,26.31578947,1,8.517393171,Very Low
2,9000,700,Ground out of 2,Super Area,Kabardanga,Kolkata,Semi-Furnished,Bachelors/Family,1,Contact Owner,12.85714286,2,9.105090961,Very Low
1,7000,240,Ground out of 4,Carpet Area,Jadavpur,Kolkata,Unfurnished,Bachelors,1,Contact Owner,29.16666667,1,8.853808275,Very Low
2,18000,850,2 out of 4,Carpet Area,Behala Chowrasta,Kolkata,Semi-Furnished,Family,1,Contact Owner,21.17647059,2,9.798182591,Medium
1,9000,950,1 out of 2,Super Area,Haltu,Kolkata,Unfurnished,Bachelors/Family,2,Contact Owner,9.473684211,0.5,9.105090961,Very Low
1,5500,450,1 out of 2,Carpet Area,Botanical Garden Area,Kolkata,Furnished,Bachelors/Family,1,Contact Owner,12.22222222,1,8.612685173,Very Low
2,7500,800,Ground out of 2,Carpet Area,Bonhooghly,Kolkata,Unfurnished,Bachelors,1,Contact Owner,9.375,2,8.922791624,Very Low
